      rus           |   lat          |      eng
Подорожник  |  Calcarius lapponicus  |  Lapland Longspur
Желтогорлая овсянка  |  Emberiza elegans  |  Yellow-throated bunting
Овсянка скалистая  |  Emberiza buchanani  |  Grey-necked Bunting
Овсянка красноклювая  |  Emberiza caesia  |  Cretzschmar's Bunting
Горная овсянка  |  Emberiza  |  Rock Bunting
Овсянка серая  |  Emberiza cineracea  |  Cinereous Bunting
Красноухая овсянка  |  Emberiza cioides  |  Meadow Bunting
Огородная овсянка  |  Emberiza cirlus  |  Cirl Bunting
Обыкновенная овсянка  |  Emberiza citrinella  |  Yellowhammer
Ошейниковая овсянка  |  Emberiza fucata  |  Chestnut-eared Bunting
Овсянка Годлевского  |  Emberiza godlewskii  |  Godlewski's Bunting
Садовая овсянка  |  Emberiza hortulana  |  Ortolan Bunting
Овсянка Янковского  |  Emberiza jankowskii  |  Jankowski's Bunting
Белошапочная овсянка  |  Emberiza leucocephala  |  
Овсянка Стюарта  |  Emberiza stewarti  |  White-capped Bunting
Желчная овсянка  |  Emberiza bruniceps  |  
Черноголовая овсянка  |  Emberiza melanocephala  |  
Серый юнко  |  Junco hyemalis  |  Dark-eyed Junco
Юнко орегонский  |  Junco oreganus  |  Dark-eyed Junco
Зонотрихия болотная  |  Melospiza georgiana  |  Swamp Sparrow
Овсянка певчая  |  Melospiza melodia  |  Song Sparrow
Просянка  |  Miliaria calandra  |  Corn Bunting
Дубровник  |  Emberiza aureola  |  
Желтобровая овсянка  |  Emberiza chrysophrys  |  
Седоголовая овсянка  |  Emberiza sulphurata  |  Yellow bunting
Овсянка-крошка  |  Emberiza pusilla  |  
Овсянка-ремез  |  Emberiza rustica  |  
Рыжая овсянка  |  Emberiza rutila  |  
Седоголовая овсянка  |  Emberiza spodocephala  |  
Японская овсянка  |  Emberiza sulphurata  |  yellow bunting Japanese yellow buntin
Таежная овсянка  |  Emberiza tristrami  |  Tristram's Bunting
Сизая овсянка  |  Emberiza variabilis  |  Grey bunting
Пестрогрудая овсянка  |  Passerella iliaca  |  Sparrow
Пуночка белая  |  Plectrophenax hyperboreus  |  McKay's Bunting
Пуночка  |  Plectrophenax nivalis  |  Snow Bunting
Овсянка монгольская  |  Emberiza lydiae  |  
Полярная овсянка  |  Schoeniclus pallasi  |  
Тростниковая овсянка  |  Schoeniclus schoeniclus  |  
Рыжешейная овсянка  |  Schoeniclus yessoensis  |  
Воробьиная овсянка  |  Spizella arborea  |  American Tree Sparrow
Обыкновенная воробьиная овсянка  |  Spizella passerina  |  Chipping Sparrow
Чернобровая овсянка  |  Zonotrichia atricapilla  |  Golden-crowned Sparrow
Белобровая овсянка  |  Zonotrichia leucophrys  |  White-crowned Sparrow
Тёмная сутора  |  Paradoxornis zappeyi  |  
Жулан индийский  |  Lanius vittatus  |  Bay-backed Shrike
Сутора Пржевальского  |  Paradoxornis przewalskii  |  Rusty-throated Parrotbill
