      rus           |   lat          |      eng
Бекас  |  Gallinago gallinago  |  Common Snipe
Японский бекас  |  Gallinago hardwickii  |  Latham's Snipe
Дупель  |  Gallinago media  |  Great Snipe
Лесной дупель  |  Gallinago megala  |  Swinhoe`s Snipe
Горный дупель  |  Gallinago solitaria  |  Solitary Snipe
Азиатский бекас  |  Gallinago stenura  |  Pintail Snipe
Сибирский пепельный улит  |  Heteroscelus brevipes  |  Grey-rumped Sandpiper
Американский пепельный улит  |  Heteroscelus incanus  |  Wandering Tattler
Грязовик  |  Limicola falcinellus  |  Broad-billed Sandpiper
Американский бекасовидный веретенник  |  Limnodromus scolopaceus  |  Long-billed Dowitcher
Азиатский бекасовидный веретенник  |  Limnodromus semipalmatus  |  Asian Dowitcher
Малый веретенник  |  Limosa lapponica  |  Bar-tailed Godwit
Большой веретенник  |  Limosa limosa  |  Black-tailed Godwit
Гаршнеп  |  Lymnocryptes minimus  |  Jack Snipe
Песочник длинноногий  |  Micropalama himantopus  |  Stilt Sandpiper
Большой кроншнеп  |  Numenius arquata  |  Curlew
Эскимосский кроншнеп  |  Numenius borealis  |  Eskimo Curlew
Дальневосточный кроншнеп  |  Numenius madagascariensis  |  Eastern Curlew
Кроншнеп-малютка  |  Numenius minutus  |  Little Curlew
Средний кроншнеп  |  Numenius phaeopus  |  Whimbrel
Таитянский кроншнеп  |  Numenius tahitiensis  |  Bristle-thighed Curlew
Тонкоклювый кроншнеп  |  Numenius tenuirostris  |  Slender-billed Curlew
Плосконосый плавунчик  |  Phalaropus fulicaria  |  Grey Phalarope
Круглоносый плавунчик  |  Phalaropus lobatus  |  Red-necked Phalarope
Американский плавунчик  |  Phalaropus tricolor  |  Wilson's Phalarope
Турухтан  |  Philomachus pugnax  |  Ruff
Вальдшнеп  |  Scolopax rusticola  |  Eurasian Woodcock
Щеголь  |  Tringa erythropus  |  Spotted Redshank
Желтоногий улит  |  Tringa flavipes  |  Lesser Yellowlegs
Фифи  |  Tringa glareola  |  Wood Sandpiper
Охотский улит  |  Tringa guttifer  |  Spotted Greenshank
Пёстрый улит  |  Tringa melanoleuca  |  Greater Yellowlegs
Большой улит  |  Tringa nebularia  |  Greenshank
Черныш  |  Tringa ochropus  |  Green Sandpiper
Поручейник  |  Tringa stagnatilis  |  Marsh Sandpiper
Травник  |  Tringa totanus  |  Redshank
